Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Air pressure (mbar)
0.01,-4.36e-4,-0.09,-8.73,8.73,0,0,0,979.06
0.02,-3.29e-4,-0.07,-6.58,6.58,0,0,0,979.06
0.03,-2.21e-4,-0.04,-4.43,4.43,0,0,0,979.06
0.04,-1.14e-4,-0.02,-2.27,2.27,0,0,0,979.06
0.05,4.16e-5,0.01,0.83,0.83,0,0,0,979.06
0.06,3.7e-4,0.06,4.9,4.9,0,0,0,979.06
0.07,0,0.15,8.96,8.96,0,0,0,979.06
0.08,0,0.28,13.03,13.03,0,0,0,979.06
0.09,0.01,0.45,17.1,17.1,0,0,0,979.06
0.1,0.01,0.66,21.17,21.17,0,0,0,979.06
0.11,0.02,0.91,25.24,25.24,0,0,0,979.06
0.12,0.03,1.21,29.51,29.51,0,0,0,979.06
0.13,0.04,1.56,35.55,35.55,0,0,0,979.06
0.14,0.06,1.98,42.03,42.03,0,0,0,979.06
0.15,0.08,2.47,48.51,48.51,0,0,0,979.06
0.16,0.11,3.02,55,55,0,0,0,979.05
0.17,0.15,3.63,61.49,61.49,0,0,0,979.05
0.18,0.19,4.31,67.98,67.98,0,0,0,979.05
0.19,0.23,5.06,74.49,74.49,0,0,0,979.04
0.2,0.29,5.87,80.99,80.99,0,0,0,979.04
0.21,0.35,6.74,87.51,87.51,0,0,0,979.04
0.22,0.42,7.65,91.17,91.17,0,0,0,979.03
0.23,0.5,8.52,86.53,86.53,0,0,0,979.02
0.24,0.59,9.33,81.36,81.36,0,0,0,979.02
0.25,0.69,10.09,76.18,76.18,0,0,0,979.01
0.26,0.79,10.8,70.99,70.99,0,0,0,979
0.27,0.9,11.46,65.8,65.8,0,0,0,979
0.28,1.02,12.04,60.71,60.71,0,0,0,978.99
0.29,1.13,12.55,55.92,55.92,0,0,0,978.98
0.3,1.31,13.27,51.89,51.9,0,1.3,-1.83e-4,978.97
0.32,1.59,14.23,46.54,46.56,0,3.39,-5.51e-5,978.95
0.35,2.05,15.46,39.78,39.79,0,6.76,3.7e-4,978.91
0.39,2.61,16.65,34.19,34.21,0,11.1,-9.2e-4,978.87
0.42,3.12,17.6,31.31,31.32,-1.34e-6,15.25,-3.85e-4,978.83
0.45,3.65,18.46,29.67,29.67,-1.28e-6,19.15,-0,978.79
0.48,4.23,19.34,28.78,28.78,-8.34e-7,23.16,-8.38e-4,978.75
0.51,4.83,20.19,27.93,27.94,-2.14e-6,27.14,-0,978.71
0.54,5.49,21.07,27.46,27.5,1.36e-5,30.67,-0,978.66
0.58,6.41,22.22,26.97,27.08,9.19e-6,34.12,-0.01,978.59
0.63,7.55,23.54,26.42,26.75,1.39e-5,36.89,-0.04,978.51
0.68,8.76,24.86,26.16,26.79,1.46e-6,-35.26,-0.04,978.42
0.73,10.04,26.16,25.85,26.87,-6.4e-6,-31.81,-0.02,978.32
0.77,11.05,27.14,25.6,26.93,1.13e-5,-26.88,-0.02,978.25
0.8,11.83,27.86,25.43,26.97,-3.94e-6,-22.64,-0.01,978.19
0.83,12.55,28.51,25.31,26.99,4.32e-6,-18.51,-0.01,978.14
0.85,13.24,29.11,25.21,27,8.03e-6,-14.44,-0.01,978.09
0.87,13.93,29.7,25.12,27.02,4.81e-6,-10.29,-0.01,978.04
0.89,14.58,30.25,25.05,27.02,-6.49e-7,-6.19,-0.01,977.99
0.92,15.22,30.77,25.02,27.01,0,-2.18,-0.01,977.94
0.94,15.87,31.29,25.03,26.99,1.09e-6,1.75,-0.01,977.9
0.96,16.56,31.84,25.07,26.94,1.87e-6,5.61,-0.01,977.84
0.98,17.35,32.46,25.17,26.86,-1.26e-6,9.08,-0.01,977.79
1.02,18.44,33.3,25.3,26.76,1.42e-5,11.95,-0.01,977.71
1.07,20.13,34.56,25.46,26.63,-1.13e-5,13.72,-0.11,977.58
1.12,21.89,35.84,25.58,26.51,-2.43e-5,-12.28,7.64e-4,977.45
1.17,23.72,37.12,25.67,26.4,1.55e-5,-8.38,0,977.32
1.2,25.01,38.01,25.72,26.33,0,-3.29,0.01,977.22
1.22,25.93,38.62,25.7,26.29,9.2e-7,0.78,0.01,977.16
1.25,26.86,39.23,25.65,26.27,0,4.7,0.01,977.09
1.27,27.84,39.87,25.57,26.24,1.86e-6,8.54,0.01,977.01
1.3,28.95,40.58,25.46,26.22,9.89e-7,12.16,0,976.93
1.34,30.37,41.45,25.28,26.22,4.96e-6,15.3,0,976.83
1.39,32.47,42.71,24.92,26.24,2.9e-5,-15.85,-0.02,976.67
1.44,34.64,43.94,24.62,26.24,2.46e-6,-11.18,-0.01,976.52
1.47,36.21,44.81,24.49,26.2,-7.26e-6,-7.2,-0.01,976.4
1.51,37.78,45.66,24.42,26.13,-1.27e-5,-3.53,-0,976.28
1.55,39.68,46.67,24.38,26.04,-2.81e-6,0.03,-0.01,976.14
1.6,42.04,47.88,24.31,25.94,-8.51e-6,3.7,-0.01,975.97
1.65,44.47,49.1,24.35,25.78,1.39e-5,6.13,-0.01,975.79
1.7,46.95,50.32,24.38,25.64,3.17e-5,-5.65,-0.01,975.61
1.75,49.5,51.53,24.29,25.38,1.15e-5,-2.39,-6.17e-4,975.42
1.79,51.66,52.53,23.84,24.91,-5.09e-7,1.63,-0,975.26
1.83,53.95,53.54,23.33,24.47,-1.35e-5,5.01,-0,975.1
1.88,56.65,54.65,22.05,23.35,-2.98e-5,6.98,-0.09,974.9
1.93,59.41,55.66,20.17,21.68,-1.56e-5,-5.57,-0.02,974.69
1.98,62.22,56.5,16.71,18.17,-2.46e-5,-1.33,-0.01,974.49
2.03,65.06,57.09,11.86,13.12,-1.12e-5,0.04,-0.01,974.28
2.08,67.92,57.42,6.57,7.56,0,0.46,0.03,974.07
2.13,70.79,57.48,1.11,2.93,5.27e-6,3.83,0.05,973.86
2.18,73.66,57.26,-4.33,4.69,5.46e-6,-1.56,-2.38e-4,973.65
2.23,76.51,56.77,-9.84,9.87,-1.18e-5,1.92,-0,973.44
2.24,77.13,56.62,-13.55,13.55,5.18e-6,3.55,-0.01,973.39
2.26,78.05,56.39,-14.14,14.15,1.78e-6,5.55,-0.01,973.32
2.28,79.42,56.05,-13.92,13.97,7.01e-6,-6.4,0.03,973.22
2.32,81.47,55.54,-13.66,13.79,3.49e-6,-3.36,0.01,973.07
2.35,83.14,55.13,-13.52,13.71,1.2e-5,1.3,4.42e-4,972.95
2.37,84.35,54.84,-13.48,13.66,1.14e-5,5.34,0.01,972.86
2.39,85.57,54.53,-13.47,13.63,1.28e-5,9.11,0.01,972.77
2.42,86.98,54.19,-13.5,13.61,-1.91e-5,12.46,0.01,972.67
2.46,89.07,53.66,-13.61,13.64,4.91e-5,-14.3,-0.14,972.51
2.51,91.73,52.98,-13.78,13.78,2.22e-5,-9.89,-0,972.32
2.53,93.06,52.63,-13.86,13.87,1.52e-5,-5.3,-0,972.22
2.55,94.05,52.37,-13.86,13.87,1.08e-5,-1.08,-0,972.15
2.57,94.97,52.12,-13.76,13.76,1.18e-5,2.65,-0,972.08
2.59,96.04,51.84,-13.61,13.61,1.34e-5,6.12,-0.01,972
2.62,97.51,51.46,-13.39,13.41,4.13e-6,8.84,-0,971.89
2.66,99.69,50.89,-13.1,13.18,-1.61e-5,-8,0.03,971.73
2.71,102.21,50.25,-12.87,13.02,-2.18e-6,-2.62,0.03,971.55
2.74,103.46,49.93,-12.75,12.95,1.53e-5,2.18,0.02,971.45
2.76,104.44,49.68,-12.7,12.91,1.35e-5,6.36,0.02,971.38
2.78,105.39,49.43,-12.71,12.89,9.46e-6,10.09,0.02,971.31
2.8,106.48,49.15,-12.75,12.88,5.7e-6,13.59,0.02,971.23
2.83,107.93,48.77,-12.81,12.89,6.54e-5,16.66,0.04,971.13
2.87,110.1,48.2,-12.98,13,1.53e-5,-17.58,0.02,970.97
2.92,112.49,47.54,-13.18,13.19,-1.7e-5,-10.7,0,970.79
2.94,113.47,47.27,-13.23,13.24,4.99e-6,-6.45,5.62e-4,970.72
2.96,114.34,47.03,-13.19,13.21,5.29e-6,-2.41,-0,970.65
2.98,115.21,46.78,-13.11,13.12,6.3e-6,1.38,-0,970.59
3,116.19,46.51,-12.99,12.99,6.5e-6,4.98,-0,970.52
3.03,117.42,46.16,-12.82,12.82,5.62e-6,8.18,0,970.43
3.07,119.24,45.66,-12.6,12.62,5.1e-5,9.65,0.04,970.29
3.12,121.51,45.03,-12.44,12.48,6.11e-5,-9.24,0.03,970.13
3.17,123.75,44.42,-12.27,12.34,-1.63e-5,-7.99,0.02,969.96
3.22,125.95,43.81,-12.03,12.18,2.27e-5,-1.26,0.01,969.8
3.24,126.95,43.53,-11.94,12.13,3.36e-6,3.16,0.01,969.73
3.26,127.82,43.3,-11.9,12.1,3.73e-6,7.27,0.01,969.66
3.28,128.65,43.07,-11.89,12.08,-3.14e-6,11.17,0.01,969.6
3.3,129.53,42.82,-11.9,12.06,-7.54e-6,14.95,0.01,969.54
3.32,130.52,42.55,-11.97,12.07,1.79e-5,18.33,0.02,969.46
3.36,131.97,42.14,-12.09,12.13,-8.52e-6,20.7,0.04,969.36
3.41,134.06,41.53,-12.25,12.25,8.81e-5,-19.34,-0.01,969.2
3.46,136.12,40.91,-12.4,12.41,-1.33e-5,-13.47,-0.01,969.05
3.48,137.12,40.6,-12.51,12.53,6.21e-7,-8.73,-0.01,968.98
3.5,137.89,40.37,-12.55,12.58,9.05e-6,-4.48,-0.01,968.92
3.52,138.58,40.15,-12.56,12.6,6.33e-6,-0.35,-0.01,968.87
3.53,139.23,39.95,-12.55,12.59,7.71e-6,3.68,-0.01,968.82
3.55,139.87,39.75,-12.51,12.55,4.35e-6,7.65,-0.01,968.78
3.57,140.52,39.54,-12.43,12.46,4.21e-6,11.49,-0.01,968.73
3.58,141.23,39.32,-12.32,12.34,2.87e-7,15.21,-0.01,968.68
3.61,142.06,39.06,-12.17,12.18,-3.81e-6,18.75,-0.01,968.62
3.63,143.13,38.73,-11.96,11.96,1.25e-5,21.7,-0.01,968.54
3.67,144.73,38.24,-11.59,11.65,-1.72e-5,-21.88,0.02,968.42
3.72,146.54,37.69,-11.27,11.47,9.71e-6,-13.74,0.02,968.29
3.74,147.22,37.49,-11.2,11.44,1.08e-5,-9.66,0.02,968.24
3.76,147.83,37.31,-11.16,11.42,7.05e-6,-5.53,0.02,968.19
3.77,148.41,37.13,-11.13,11.4,9.08e-6,-1.51,0.02,968.15
3.79,148.98,36.96,-11.12,11.38,7.76e-6,2.47,0.02,968.11
3.8,149.56,36.79,-11.12,11.37,8.14e-6,6.39,0.02,968.06
3.82,150.15,36.61,-11.12,11.35,4.96e-6,10.34,0.02,968.02
3.84,150.76,36.42,-11.12,11.33,7.36e-6,14.22,0.02,967.98
3.85,151.41,36.22,-11.14,11.32,1.49e-5,18.01,0.02,967.93
3.87,152.12,36,-11.14,11.3,1.75e-5,21.88,0.02,967.88
3.9,152.89,35.77,-11.15,11.29,9.36e-6,25.62,0.01,967.82
3.92,153.77,35.49,-11.23,11.31,1.29e-5,29.05,0.01,967.76
3.96,155.04,35.08,-11.36,11.39,-3.26e-5,31.42,0.01,967.66
4.01,156.78,34.51,-11.49,11.5,0,-31.21,-0.04,967.53
4.06,158.49,33.93,-11.77,11.78,-8.27e-5,-25.8,-0.01,967.41
4.08,159.34,33.63,-11.87,11.89,-3.93e-6,-21.41,-0.02,967.35
4.1,160.04,33.39,-11.92,11.95,1.63e-5,-17.22,-0.02,967.29
4.12,160.68,33.15,-11.97,12,1.34e-5,-13.06,-0.02,967.25
4.14,161.28,32.94,-11.98,12.02,1.92e-6,-8.98,-0.02,967.2
4.16,161.85,32.73,-11.96,11.99,5.22e-6,-4.97,-0.02,967.16
4.17,162.43,32.52,-11.89,11.91,5.79e-6,-1.12,-0.02,967.12
4.19,163.05,32.29,-11.79,11.81,5.63e-6,2.66,-0.02,967.07
4.21,163.74,32.04,-11.7,11.71,6.55e-6,6.38,-0.02,967.02
4.24,164.52,31.75,-11.59,11.59,5.51e-6,10.1,-0.02,966.96
4.27,165.43,31.42,-11.4,11.4,1.21e-5,13.47,-0.01,966.9
4.31,166.78,30.93,-11.09,11.11,3.86e-5,-15.04,0.06,966.8
4.36,168.32,30.39,-10.78,10.86,1.52e-5,-11.57,0.02,966.69
4.4,169.37,30.02,-10.65,10.76,7.08e-6,-6.97,0.02,966.61
4.42,170.15,29.74,-10.63,10.74,9.02e-6,-2.96,0.02,966.55
4.45,170.95,29.45,-10.65,10.74,7.63e-6,0.83,0.02,966.49
4.48,171.84,29.13,-10.64,10.72,6.2e-6,4.77,0.02,966.43
4.51,172.75,28.79,-10.63,10.71,4.27e-6,8.57,0.02,966.36
4.55,173.73,28.43,-10.63,10.7,-9.22e-7,12.42,0.02,966.29
4.58,174.79,28.03,-10.62,10.68,1.91e-5,16.21,0.03,966.21
4.63,175.97,27.58,-10.67,10.71,3.58e-5,19.72,0.03,966.12
4.68,177.33,27.04,-10.75,10.77,1.97e-5,21.44,0.02,966.02
4.73,178.67,26.5,-10.89,10.9,6.7e-5,-21.33,-0.03,965.92
4.78,179.98,25.95,-11.03,11.03,1.25e-5,-17.26,-0.03,965.83
4.82,181.07,25.49,-11.05,11.05,-9.52e-6,-13.03,-0.02,965.75
4.86,182.06,25.06,-10.99,10.99,6.51e-6,-9.29,-0.03,965.68
4.9,183.13,24.58,-10.93,10.93,1.6e-6,-5.46,-0.03,965.6
4.95,184.32,24.05,-10.86,10.86,-9.94e-7,-1.73,-0.03,965.51
5,185.51,23.51,-10.76,10.76,1.52e-6,1.39,-0.03,965.42
5.05,186.67,22.97,-10.69,10.69,4.37e-6,3.83,-0.03,965.34
5.1,187.8,22.44,-10.5,10.51,-1.35e-6,-4.78,0.06,965.25
5.15,188.91,21.92,-10.42,10.43,1.69e-6,-4.07,0.04,965.17
5.2,190,21.4,-10.29,10.32,7.45e-6,-2.25,0.04,965.09
5.25,191.05,20.9,-10.03,10.1,7.77e-6,2.13,0.03,965.01
5.28,191.73,20.57,-9.98,10.06,9.27e-6,6.26,0.04,964.96
5.31,192.37,20.25,-9.95,10.03,3.46e-6,10.24,0.04,964.92
5.34,192.99,19.95,-9.92,10,8.05e-6,14.3,0.04,964.87
5.37,193.59,19.65,-9.88,9.97,-5.58e-6,18.32,0.04,964.83
5.4,194.18,19.35,-9.87,9.95,1.02e-5,22.31,0.04,964.78
5.44,194.77,19.04,-9.91,9.97,-3.05e-6,26.02,0.03,964.74
5.47,195.46,18.68,-9.97,10.02,3.15e-5,29.56,0.03,964.69
5.52,196.33,18.21,-10.11,10.13,-2.97e-5,32.69,0.03,964.63
5.57,197.23,17.7,-10.29,10.29,-1.46e-5,-32.86,-0.4,964.56
5.62,198.1,17.18,-10.39,10.39,2.86e-5,-31.38,-0.07,964.5
5.67,198.94,16.66,-10.48,10.48,3.39e-5,-28.58,-0.06,964.43
5.72,199.76,16.14,-10.52,10.52,4.09e-6,-24.91,-0.06,964.37
5.77,200.56,15.61,-10.51,10.51,-1.87e-5,-21.44,-0.06,964.31
5.82,201.33,15.09,-10.52,10.52,1.17e-5,-17.58,-0.06,964.26
5.87,202.07,14.56,-10.47,10.47,-2.98e-6,-13.9,-0.06,964.2
5.92,202.78,14.04,-10.34,10.35,9.36e-6,-11.09,-0.06,964.15
5.97,203.47,13.53,-10.19,10.19,6.91e-7,-9.37,-0.07,964.1
6.02,204.13,13.02,-10.03,10.04,9.21e-6,9.44,0.04,964.05
6.07,204.77,12.52,-9.95,9.96,5.9e-6,10.5,0.04,964
6.12,205.39,12.02,-9.96,9.96,1.14e-5,11.65,0.03,963.96
6.17,205.98,11.53,-9.94,9.94,8.33e-6,12.34,0.03,963.92
6.22,206.54,11.03,-9.83,9.84,7.75e-6,13.78,0.04,963.87
6.27,207.08,10.54,-9.73,9.74,6.81e-6,15.98,0.05,963.84
6.32,207.59,10.06,-9.67,9.68,9.14e-6,18.82,0.05,963.8
6.37,208.08,9.58,-9.69,9.7,1.52e-5,21.41,0.04,963.76
6.42,208.55,9.09,-9.69,9.7,4.11e-6,23.52,0.03,963.73
6.47,208.99,8.61,-9.64,9.65,-6.31e-6,25.73,0.04,963.69
6.52,209.41,8.13,-9.62,9.63,1.1e-5,28.2,0.04,963.66
6.57,209.81,7.64,-9.64,9.65,2.13e-5,30.1,0.02,963.63
6.62,210.18,7.16,-9.59,9.6,-1.43e-6,31.95,0.03,963.61
6.67,210.52,6.69,-9.56,9.57,1.39e-5,34.2,0.03,963.58
6.72,210.85,6.21,-9.61,9.61,1.35e-5,35.86,0.01,963.56
6.77,211.14,5.72,-9.62,9.63,-1.66e-5,37.14,-0,963.54
6.82,211.42,5.24,-9.61,9.61,-1.13e-5,38.31,-0,963.52
6.87,211.67,4.76,-9.6,9.61,1.32e-5,39.47,-0.01,963.5
6.92,211.89,4.28,-9.6,9.61,-3.7e-6,40.31,-0.02,963.48
6.97,212.1,3.8,-9.59,9.6,4.77e-6,41.27,-0.03,963.47
7.02,212.27,3.32,-9.59,9.6,-4.76e-6,41.87,-0.05,963.45
7.07,212.43,2.85,-9.57,9.58,2.46e-6,42.7,-0.04,963.44
7.12,212.56,2.37,-9.56,9.57,1.42e-5,43.2,-0.05,963.43
7.17,212.67,1.89,-9.52,9.53,1.81e-5,44.05,-0.03,963.42
7.22,212.75,1.41,-9.52,9.52,-5.88e-6,44.7,-0.04,963.42
7.24,212.78,1.19,-9.51,9.51,5.95e-6,45.04,-0.04,963.42
7.24,212.78,1.17,-9.51,9.51,8.32e-6,45.08,-0.04,963.42
7.25,212.78,1.16,-10.65,13.48,NaN,NaN,NaN,963.42
7.32,212.84,0.38,-10.64,13.47,NaN,NaN,NaN,963.42
7.38,212.84,-0.25,-10.06,12.38,NaN,NaN,NaN,963.41
7.49,212.75,-1.34,-9.64,11.84,NaN,NaN,NaN,963.41
7.59,212.58,-2.22,-8.97,10.75,NaN,NaN,NaN,963.42
7.76,212.07,-3.68,-8.44,10.2,NaN,NaN,NaN,963.43
7.91,211.46,-4.78,-7.67,9.05,NaN,NaN,NaN,963.47
8.11,210.34,-6.2,-6.97,8.4,NaN,NaN,NaN,963.51
8.29,209.17,-7.28,-6.22,7.29,NaN,NaN,NaN,963.59
8.48,207.63,-8.37,-5.54,6.41,NaN,NaN,NaN,963.68
8.69,205.79,-9.33,-4.63,5.49,NaN,NaN,NaN,963.79
8.91,203.7,-10.13,-3.72,4.57,NaN,NaN,NaN,963.93
9.14,201.27,-10.78,-2.8,3.8,NaN,NaN,NaN,964.08
9.38,198.61,-11.3,-2.14,2.84,NaN,NaN,NaN,964.26
9.69,195.02,-11.73,-1.39,2.48,NaN,NaN,NaN,964.46
10.01,191.21,-12.02,-0.91,1.51,NaN,NaN,NaN,964.72
10.51,185.14,-12.26,-0.47,1.25,NaN,NaN,NaN,965
11.01,179.01,-12.29,-0.07,1.44,NaN,NaN,NaN,965.45
11.51,172.85,-12.32,-0.06,1.05,NaN,NaN,NaN,965.9
12,166.82,-12.35,-0.06,0.07,NaN,NaN,NaN,966.35
12.5,160.64,-12.36,-0.01,0.17,NaN,NaN,NaN,966.8
13,154.46,-12.35,0,0.24,NaN,NaN,NaN,967.25
13.5,148.29,-12.35,0.01,0.28,NaN,NaN,NaN,967.7
14,142.11,-12.35,0,0.14,NaN,NaN,NaN,968.16
14.5,135.94,-12.35,0.01,0.24,NaN,NaN,NaN,968.61
15,129.76,-12.35,0,0.03,NaN,NaN,NaN,969.07
15.5,123.59,-12.34,0.01,0.43,NaN,NaN,NaN,969.52
16,117.42,-12.34,-0,0.16,NaN,NaN,NaN,969.97
16.5,111.25,-12.34,0,0.2,NaN,NaN,NaN,970.43
16.99,105.28,-12.32,0.04,0.84,NaN,NaN,NaN,970.88
17.41,100.02,-12.33,-0.02,0.3,NaN,NaN,NaN,971.32
17.91,93.86,-12.32,0.01,0.56,NaN,NaN,NaN,971.71
18.39,87.96,-12.32,0,0.49,NaN,NaN,NaN,972.16
18.89,81.8,-12.33,-0.01,0.05,NaN,NaN,NaN,972.59
19.39,75.64,-12.31,0.03,0.79,NaN,NaN,NaN,973.05
19.89,69.48,-12.32,-0.02,0.18,NaN,NaN,NaN,973.5
20.39,63.32,-12.32,0,0.26,NaN,NaN,NaN,973.95
20.89,57.16,-12.32,0.01,0.32,NaN,NaN,NaN,974.41
21.39,51,-12.32,-9.17e-5,0.1,NaN,NaN,NaN,974.86
21.89,44.84,-12.32,0,0.15,NaN,NaN,NaN,975.31
22.39,38.69,-12.31,0.01,0.26,NaN,NaN,NaN,975.76
22.89,32.53,-12.31,0.01,0.38,NaN,NaN,NaN,976.22
23.39,26.38,-12.3,0,0.36,NaN,NaN,NaN,976.67
23.89,20.23,-12.3,0.01,0.5,NaN,NaN,NaN,977.12
24.39,14.08,-12.3,-0.01,0.1,NaN,NaN,NaN,977.57
24.89,7.93,-12.29,0.03,0.74,NaN,NaN,NaN,978.03
25.39,1.78,-12.29,-0.01,0.42,NaN,NaN,NaN,978.48
25.54,0,-12.29,-0.01,0.2,NaN,NaN,NaN,978.93
